,input,filtered,denoisedF,denoisedR,merged,nonchim
OF147_R1_001.fastq.gz,25,17,4412,4606,1085,1085
OF148_R1_001.fastq.gz,7526,4861,1,3,0,0
OF149_R1_001.fastq.gz,269,54,658,735,323,323
OF150_R1_001.fastq.gz,1915,808,32876,34048,21664,20443
OF151_R1_001.fastq.gz,48882,34777,20,23,9,9
OF151-_R1_001.fastq.gz,202,63,196,217,0,0
OF152_R1_001.fastq.gz,284,228,1,2,0,0
OF152-_R1_001.fastq.gz,302,111,1032,1125,338,208
OF153_R1_001.fastq.gz,1872,1262,1,1,0,0
OF154_R1_001.fastq.gz,35,2,1,30,0,0
OF155_R1_001.fastq.gz,359,68,36,36,36,36
OF156_R1_001.fastq.gz,61,47,40406,41086,21554,19078
OF158_R1_001.fastq.gz,56247,42276,898,973,396,396
OF159_R1_001.fastq.gz,2261,1154,2,2,0,0
OF160_R1_001.fastq.gz,226,58,1,2,0,0
OF161_R1_001.fastq.gz,220,52,109,217,0,0
OF162_R1_001.fastq.gz,998,268,6402,5944,486,486
OF163_R1_001.fastq.gz,12649,6999,159,204,110,110
OF164_R1_001.fastq.gz,1,0,41894,42951,25855,23474
OF165_R1_001.fastq.gz,312,228,201,254,38,38
OF166_R1_001.fastq.gz,59831,43751,1,14,0,0
OF167_R1_001.fastq.gz,763,362,1,1,0,0
OF168_R1_001.fastq.gz,477,132,1,2,0,0
OF169_R1_001.fastq.gz,19,4,1,1,0,0
OF170_R1_001.fastq.gz,20,3,3,3,0,0
OF171_R1_001.fastq.gz,36,3,33937,34602,21523,20076
OF173_R1_001.fastq.gz,98,18,40253,41342,24449,23009
OF175_R1_001.fastq.gz,48490,35239,25563,26185,17153,15888
OF176_R1_001.fastq.gz,57952,41697,7508,7767,3661,3288
OF177_R1_001.fastq.gz,32146,26532,8859,9300,2699,2659
OF180_R1_001.fastq.gz,11624,8104,1,1,0,0
OF182_R1_001.fastq.gz,13686,9558,658,766,224,224
OF185_R1_001.fastq.gz,11,3,1,86,0,0
OF186_R1_001.fastq.gz,1010,839,1,4,0,0
OF187_R1_001.fastq.gz,521,131,59,130,56,56
OF188_R1_001.fastq.gz,320,83,160,213,110,110
OF189_R1_001.fastq.gz,220,161,2426,2599,692,692
OF190_R1_001.fastq.gz,313,234,43198,44331,28359,26388
OF191_R1_001.fastq.gz,3928,2846,1,1,1,1
OF193_R1_001.fastq.gz,60463,45185,23276,23603,15301,9408
OF194_R1_001.fastq.gz,37,7,1,1,0,0
OF195_R1_001.fastq.gz,27254,23917,48621,49634,32152,29224
OF196_R1_001.fastq.gz,69,4,28529,29062,17322,15536
OF198_R1_001.fastq.gz,71871,50165,1,13,0,0
OF200_R1_001.fastq.gz,39301,29487,10,20,0,0
OF201_R1_001.fastq.gz,393,105,8,3,0,0
OF202_R1_001.fastq.gz,26,22,2549,2658,537,537
OF203_R1_001.fastq.gz,40,19,2365,2483,631,631
OF204_R1_001.fastq.gz,4084,2822,28606,29531,16991,15814
OF205_R1_001.fastq.gz,3661,2659,56617,57902,35258,31850
OF206_R1_001.fastq.gz,42703,30137,2,1,0,0
OF207_R1_001.fastq.gz,78957,58717,138,154,2,2
OF208_R1_001.fastq.gz,246,44,1,22,0,0
OF210_R1_001.fastq.gz,243,178,3362,3558,654,654
OF211_R1_001.fastq.gz,484,116,37,64,0,0
OF212_R1_001.fastq.gz,9650,3776,29,39,0,0
OF213_R1_001.fastq.gz,344,90,30961,32042,16196,15421
OF214_R1_001.fastq.gz,76,47,52626,53014,39527,26039
OF216_R1_001.fastq.gz,45793,32605,1636,1770,458,416
OF217_R1_001.fastq.gz,66333,53486,1,1,0,0
OF220_R1_001.fastq.gz,2919,1903,1,1,0,0
OF221_R1_001.fastq.gz,10,7,665,739,247,247
OF222_R1_001.fastq.gz,49,7,3412,3622,683,683
OF223_R1_001.fastq.gz,1762,814,1795,1927,388,388
OF225_R1_001.fastq.gz,8921,3767,3,3,0,0
OF226_R1_001.fastq.gz,3379,2096,32365,33297,19791,18633
OF227_R1_001.fastq.gz,5,3,39037,39523,27284,22542
OF228_R1_001.fastq.gz,46589,33894,39624,40517,26934,24641
OF229_R1_001.fastq.gz,55819,40094,26925,27537,14781,13736
OF230_R1_001.fastq.gz,54825,41117,134,164,66,66
OF231_R1_001.fastq.gz,44458,28397,1,1,0,0
OF232_R1_001.fastq.gz,297,214,3820,3899,2239,2024
OF233_R1_001.fastq.gz,261,65,39372,39638,30127,27087
OF234_R1_001.fastq.gz,4596,3982,54771,55352,42513,37052
OF235_R1_001.fastq.gz,53173,40168,2,2,2,2
OF235-_R1_001.fastq.gz,70823,55804,7274,7569,1721,1691
OF237_R1_001.fastq.gz,50,12,763,836,3,3
OF238_R1_001.fastq.gz,11098,7871,1051,1095,278,278
OF239_R1_001.fastq.gz,2316,951,1,1,1,1
OF280_R1_001.fastq.gz,1851,1240,1,1,0,0
OF290_R1_001.fastq.gz,186,22,22,44,20,20
OFNeg1_R1_001.fastq.gz,27,1,2,1,0,0
OFNEG2_R1_001.fastq.gz,468,135,89,96,45,45
OFPOS1_R1_001.fastq.gz,63,10,16359,19888,3176,3176
OFPOS2_R1_001.fastq.gz,633,266,10772,17939,228,228
WS-10-1-B_R1_001.fastq.gz,37398,21663,14651,20120,2190,2190
WS-10-2-B_R1_001.fastq.gz,42487,22109,12759,18961,1619,1619
WS-10-3-B_R1_001.fastq.gz,33643,22203,16391,23699,2798,2739
WS-10-4-B_R1_001.fastq.gz,29117,21334,32183,41463,7242,7198
WS-10-5-B_R1_001.fastq.gz,36139,26162,28751,31930,13431,13326
WS-11-1-B_R1_001.fastq.gz,62556,44591,27683,44660,2693,2693
WS-11-2-B_R1_001.fastq.gz,51032,33658,20887,34580,1816,1816
WS-11-3-B_R1_001.fastq.gz,68717,50719,28063,40395,4487,4404
WS-11-4-B_R1_001.fastq.gz,57901,38482,2993,4126,1684,1684
WS-11-5-B_R1_001.fastq.gz,59263,44387,1022,1486,404,404
WS-1-1-B_R1_001.fastq.gz,11252,4741,9365,18383,772,772
WS-12-1-B_R1_001.fastq.gz,3103,1918,15740,24616,1753,1691
WS-12-2-B_R1_001.fastq.gz,29919,21142,19735,36938,2145,2145
WS-12-3-B_R1_001.fastq.gz,41406,27144,1281,2003,538,538
WS-12-4-B_R1_001.fastq.gz,58413,42611,11081,15689,2520,2461
WS-12-5-B_R1_001.fastq.gz,8535,2531,340,621,80,80
WS-1-2-B_R1_001.fastq.gz,32125,17135,2098,3106,1038,1038
WS-13-1-B_R1_001.fastq.gz,1808,905,10674,22383,1179,1179
WS-13-2-B_R1_001.fastq.gz,8874,3643,12398,15225,5041,5041
WS-13-3-B_R1_001.fastq.gz,37376,25975,6204,8330,2823,2823
WS-13-4-B_R1_001.fastq.gz,29588,16428,34145,53949,3597,3597
WS-13-5-B_R1_001.fastq.gz,26628,9360,2833,3827,1518,1518
WS-1-3-B_R1_001.fastq.gz,83098,59527,15329,29597,1480,1480
WS-14-1-B_R1_001.fastq.gz,7416,4465,23481,29938,3542,3542
WS-14-2-B_R1_001.fastq.gz,47327,34886,14678,28795,1519,1519
WS-14-3-B_R1_001.fastq.gz,50437,32394,13992,28641,1245,1245
WS-14-4-B_R1_001.fastq.gz,47336,33495,28658,47827,3192,3192
WS-14-5-B_R1_001.fastq.gz,49964,32808,21898,25319,7521,7392
WS-1-4-B_R1_001.fastq.gz,82553,53180,5731,7005,2806,2806
WS-15-1-B_R1_001.fastq.gz,43765,26576,1,13,0,0
WS-15-2-B_R1_001.fastq.gz,29835,7557,2,9,0,0
WS-15-3-B_R1_001.fastq.gz,111,88,10,15,0,0
WS-15-4-B_R1_001.fastq.gz,114,48,30548,46329,4586,4444
WS-15-5-B_R1_001.fastq.gz,261,187,2,63,2,2
WS-1-5-B_R1_001.fastq.gz,76868,51249,21,43,21,21
WS-16-1-B_R1_001.fastq.gz,242,165,5,23,0,0
WS-16-2-B_R1_001.fastq.gz,323,236,1,15,0,0
WS-16-3-B_R1_001.fastq.gz,188,83,2,28,0,0
WS-16-4-B_R1_001.fastq.gz,227,174,2,5,2,2
WS-16-5-B_R1_001.fastq.gz,146,100,1,3,0,0
WS-17-1-B_R1_001.fastq.gz,104,68,1,30,0,0
WS-17-2-B_R1_001.fastq.gz,122,38,4,13,4,4
WS-17-3-B_R1_001.fastq.gz,269,200,1,1,0,0
WS-17-4-B_R1_001.fastq.gz,216,129,2,3,2,2
WS-17-5-B_R1_001.fastq.gz,245,165,3,9,0,0
WS-18-1-B_R1_001.fastq.gz,169,74,1,1,0,0
WS-18-2-B_R1_001.fastq.gz,171,129,9029,13709,824,824
WS-18-3-B_R1_001.fastq.gz,120,73,13329,23536,814,814
WS-18-4-B_R1_001.fastq.gz,22123,15294,21782,37155,2908,2908
WS-18-5-B_R1_001.fastq.gz,38192,27244,19974,32493,2456,2456
WS-19-1-B_R1_001.fastq.gz,57911,42178,25984,41075,2373,2307
WS-19-2-B_R1_001.fastq.gz,53898,36245,15821,29534,2229,2229
WS-19-3-B_R1_001.fastq.gz,64114,45875,21045,32900,2843,2843
